cnty,G18AGRDFri_sum,G18AGRRCal_sum,G18AGRRfRi_sum,G18AGRSum_sum,G18AM10No_sum,G18AM10Sum_sum,G18AM10Yes_sum,G18AM11No_sum,G18AM11Sum_sum,G18AM11Yes_sum,G18AM12No_sum,G18AM12Sum_sum,G18AM12Yes_sum,G18AM13No_sum,G18AM13Sum_sum,G18AM13Yes_sum,G18AM1No_sum,G18AM1Sum_sum,G18AM1Yes_sum,G18AM2No_sum,G18AM2Sum_sum,G18AM2Yes_sum,G18AM3No_sum,G18AM3Sum_sum,G18AM3Yes_sum,G18AM4No_sum,G18AM4Sum_sum,G18AM4Yes_sum,G18AM5No_sum,G18AM5Sum_sum,G18AM5Yes_sum,G18AM6No_sum,G18AM6Sum_sum,G18AM6Yes_sum,G18AM7No_sum,G18AM7Sum_sum,G18AM7Yes_sum,G18AM9No_sum,G18AM9Sum_sum,G18AM9Yes_sum,G18ATGDMoo_sum,G18ATGDSha_sum,G18ATGISis_sum,G18ATGNPA_sum,G18ATGSum_sum,G18CFODRin_sum,G18CFORPat_sum,G18CFOSum_sum,G18GOVDGil_sum,G18GOVRDeS_sum,G18GOVSum_sum,G18SENDNel_sum,G18SENDSco_sum,G18SENNPA_sum,G18SENSum_sum,SumRegis_sum
ALA,70783,41596,537,112379,57739,108543,50804,51507,107010,55503,36583,110016,73433,32518,112469,79951,63981,111477,47496,56080,110234,54154,27810,112601,84791,30994,113556,82562,56013,111083,55070,61151,111040,49889,55129,111014,55885,31529,112103,80574,43897,67657,1957,665,113511,69101,42419,111520,72701,41285,115188,74442,40595,0,115037,180938
BAK,1710,8683,42,10393,3221,9953,6732,4533,9803,5270,2994,9973,6979,5876,10205,4329,4070,10186,6116,2673,10160,7487,3479,10263,6784,5727,10235,4508,2664,10061,7397,3812,10123,6311,3259,10036,6777,5354,9969,4615,8777,1605,94,52,10476,1662,8703,10365,1760,8688,10542,1943,8580,0,10523,15108
BAY,17033,45751,371,62784,16335,59491,43156,19431,58215,38784,9948,60102,50154,27550,61353,33803,18897,61538,42641,16267,60595,44328,14699,62111,47412,25788,61669,35881,14292,60962,46670,18813,60814,42001,14656,60497,45841,23714,60784,37070,46313,15458,1100,494,62871,13075,50105,63180,16757,45709,63331,16723,46681,0,63404,120851
BRA,2591,7770,54,10361,3099,9763,6664,4121,9458,5337,2615,9854,7239,4968,10213,5245,4114,10088,5974,2747,9997,7250,2864,10230,7366,5005,10250,5245,2760,10018,7258,3681,10040,6359,3114,9968,6854,4553,9959,5406,7791,2423,171,82,10385,2499,7771,10270,2671,7698,10505,2879,7576,0,10455,16312
BRE,117231,159030,2127,276261,93461,267771,174310,103341,260485,157144,58366,271303,212937,78452,276181,197729,113150,274784,161634,87455,272381,184926,86994,277797,190803,107213,277206,169993,88633,272986,184353,107193,273927,166734,101901,272629,170728,88738,274108,185370,168379,105093,5639,2325,279111,110641,165092,275733,114921,162213,281586,121112,160305,0,281417,422606
BRO,479279,214083,2167,693362,291799,653473,361674,253037,646578,393541,156369,656383,500014,151812,667914,516102,301057,654821,353764,223102,648809,425707,203522,678623,475101,190046,680379,490333,267517,672305,404788,263413,661939,398526,241394,658987,417593,132322,660307,527985,220278,467982,10266,2848,698526,471690,221226,692916,482152,222012,709179,471829,211261,0,683090,1183455
CAL,1014,3527,52,4541,1316,4283,2967,1718,4177,2459,1172,4326,3154,2546,4406,1860,1696,4459,2763,1266,4390,3124,1037,4483,3446,2066,4445,2379,1141,4369,3228,1455,4385,2930,1097,4338,3241,2118,4336,2218,3531,947,81,58,4559,845,3751,4596,923,3576,4609,1033,3586,0,4619,8703
CHA,32042,53008,736,85050,25675,81659,55984,28161,79777,51616,14599,82916,68317,27467,84874,57407,27424,84645,57221,21635,83975,62340,21061,85162,64101,35540,85106,49566,21684,84031,62347,27565,84097,56532,26158,83244,57086,26454,83918,57464,55028,28427,1921,809,85376,30778,53473,84251,31248,54102,86895,33525,52916,0,86441,134539
CIT,22553,47307,1249,69860,22746,67554,44808,28190,66151,37961,11379,68343,56964,26954,69588,42634,27509,69319,41810,19303,68599,49296,20729,69635,48906,29826,69656,39830,20362,68733,48371,20195,69057,48862,24055,68444,44389,27467,68727,41260,49669,19026,1704,723,70399,20759,48111,68870,21197,47729,70898,22660,48008,0,70668,109388
CLA,26580,65551,451,92131,27182,87561,60379,32451,86014,53563,18995,88343,69348,37656,90875,53219,34087,90258,56171,24157,89967,65810,28287,91551,63264,42922,91911,48989,24844,89825,64981,31992,89852,57860,27367,89637,62270,39468,89830,50362,66401,24791,1484,480,92676,25683,66177,91860,28151,64404,93486,27706,65627,0,93333,153119
